"mapid","synsetid","synsetid2","score"
"56665","104375494","104256646","100"
"56666","101247566","101192990","100"
"56667","104375343","104256495","100"
"56668","100514746","100494995","100"
"56669","106192235","105892246","100"
"56670","113218626","112632491","100"
"56671","108159014","107772986","100"
"56672","114872810","114216355","100"
"56673","100389112","100375702","100"
"56674","104375868","104257020","100"
"56675","104375677","104256829","100"
"56676","104375988","104257140","100"
"56677","113608184","113010330","100"
"56678","105040145","104820805","100"
"56679","113392772","112802602","100"
"56680","108308146","107911294","100"
"56681","104838598","104651651","100"
"56682","104839775","104652558","100"
"56683","106284856","105974910","100"
"56684","102250373","102186465","100"
"56685","104376524","104257677","100"
"56686","107393765","107036694","100"
"56687","113981363","113363542","100"
"56688","100677389","100646705","100"
"56689","114543127","113895463","100"
"56690","114009673","113391211","100"
"56691","114077574","113458096","100"
"56692","113914494","113298097","100"
"56693","113392943","112802773","100"
"56694","100696703","100665448","100"
"56695","114162591","113541116","100"
"56696","113914634","113298237","100"
"56697","114181913","113559480","100"
"56698","108069856","107686097","100"
"56699","102645910","102578707","100"
"56700","105132558","104899114","100"
"56701","104377241","104258394","100"
"56702","100104487","100099809","100"
"56703","104969547","104760885","100"
"56704","104377849","104258986","100"
"56705","102844134","102770388","100"
"56706","100088934","100084583","100"
"56707","110549369","110011310","100"
"56708","107296300","106944120","100"
"56709","104377960","104259097","100"
"56710","104378223","104259360","100"
"56711","111177454","110606657","100"
"56712","101234877","101180741","100"
"56713","100763508","100725764","100"
"56714","104378781","104259918","100"
"56715","105515036","105264927","100"
"56716","106556317","106235079","100"
"56717","104379133","104260270","100"
"56718","108703061","108283534","100"
"56719","110549603","110011544","100"
"56720","111335800","110759997","100"
"56721","107296711","106944513","100"
"56722","102603136","102536055","100"
"56723","102602896","102535815","100"
"56724","110549795","110011736","100"
"56725","108653011","108237206","100"
"56726","114965331","114305293","100"
"56727","100131011","100125433","100"
"56728","112723388","112142177","100"
"56729","114875674","114219219","100"
"56730","114874968","114218513","100"
"56731","105347419","105102825","100"
"56732","105268263","105025504","100"
"56733","114726063","114074022","100"
"56734","105265957","105023234","100"
"56735","114876084","114219629","100"
"56736","105461512","105213656","100"
"56737","105347558","105102964","100"
"56738","105318976","105076059","100"
"56739","100677511","100646827","100"
"56740","114165889","113544199","100"
"56741","114876567","114220112","100"
"56742","114725921","114073880","100"
"56743","112962933","112380116","100"
"56744","113021827","112437944","100"
"56745","102250046","102186138","100"
"56746","102248487","102184579","100"
"56747","113978236","113360415","100"
"56748","109385597","108920915","100"
"56749","104379688","104260825","100"
"56750","112635580","112054517","100"
"56751","111177810","110607010","100"
"56752","102088078","102025055","100"
"56753","106838747","106507542","100"
"56754","105319678","105076761","100"
"56755","105522019","105271830","100"
"56756","105522177","105271988","100"
"56757","108683883","108266117","100"
"56758","114170693","113548925","100"
"56759","114139353","113518477","100"
"56760","101572128","101512305","100"
"56761","112358305","111777947","100"
"56762","106601454","106279340","100"
"56763","106328445","106015782","100"
"56764","102857979","102783269","100"
"56765","110549883","110011824","100"
"56766","109492424","109022737","100"
"56767","108318868","107921963","100"
"56768","106433820","106117983","100"
"56769","110558136","110019360","100"
"56770","104380024","104261281","100"
"56771","113757988","113152441","100"
"56772","106701742","106375387","100"
"56773","104380271","104261528","100"
"56774","100141704","100135863","100"
"56775","106701874","106375519","100"
"56776","107297025","106944827","100"
"56777","109322375","108862533","100"
"56778","107303184","106950845","100"
"56779","109322475","108862633","100"
"56780","108569969","108159438","100"
"56781","100482922","100463146","100"
"56782","107303654","106951315","100"
"56783","104380428","104261685","100"
"56784","109322890","108862945","100"
"56785","106553568","106232539","100"
"56786","104380563","104261821","100"
"56787","104380863","104262121","100"
