"301507992","86678","a"
"301511520","140027","a"
"301511520","140048","a"
"301512527","80820","a"
"301512909","116160","a"
"301515525","22061","p"
"301517526","82207","a"
"301520091","8011","a"
"301520091","28214","a"
"301520091","29253","a"
"301520091","38678","a"
"301520091","44396","a"
"301520091","60215","a"
"301520091","98403","a"
"301520091","106454","a"
"301520091","122154","a"
"301520091","125193","a"
"301520091","125194","a"
"301520091","132440","a"
"301520091","140042","a"
"301520655","11127","a"
"301520655","15036","a"
"301520655","15206","a"
"301520655","15217","a"
"301520655","31215","a"
"301520655","49170","a"
"301520655","51794","a"
"301527420","84082","a"
"301542071","85908","a"
"301542252","85936","a"
"301552162","52466","ip"
"301552255","81681","a"
"301552255","81682","a"
"301552255","81683","a"
"301552419","76513","p"
"301552634","122586","a"
"301553340","340","a"
"301553340","341","a"
"301553494","62005","a"
"301553629","87247","a"
"301554063","122586","a"
"301554230","127620","a"
"301554510","78311","a"
"301554940","121401","a"
"301555133","86575","a"
"301555416","76925","a"
"301555732","86765","a"
"301556061","76263","a"
"301556355","86575","a"
"301557120","86765","a"
"301557386","47989","a"
"301559903","87154","p"
"301560320","138663","p"
"301562167","2528","p"
"301562284","2945","p"
"301562284","2946","p"
"301564881","51698","p"
"301564881","112679","p"
"301568684","145880","a"
"301576071","145364","a"
"301576071","145415","a"
"301578683","31938","a"
"301578856","44369","a"
"301594146","82961","a"
"301594472","83123","a"
"301594811","85752","a"
"301598859","44544","a"
"301616474","91947","p"
"301616798","12864","p"
"301616891","39909","p"
"301616891","91954","p"
"301617004","68471","p"
"301617144","68471","p"
"301617255","128334","p"
"301617591","137220","p"
"301618895","129881","p"
"301621894","126235","p"
"301621894","126236","a"
"301623360","68089","p"
"301629349","9538","a"
"301630033","92989","p"
"301637583","93017","a"
"301637583","93018","a"
"301639973","67488","ip"
"301640261","79013","a"
"301641921","89830","a"
"301642951","128060","a"
"301644541","2708","a"
"301644541","92375","p"
"301652601","3185","p"
"301653857","94767","p"
"301654582","2656","p"
"301657233","16648","p"
"301657233","16649","a"
"301657760","26202","p"
"301660444","48284","a"
"301661529","143648","p"
"301661529","143707","a"
"301674604","121953","p"
"301676350","45154","ip"
"301676517","65669","a"
"301676517","108485","a"
"301677623","93049","a"
"301688757","126016","a"
"301692222","94817","a"
"301692512","93311","a"
"301692786","68775","a"
"301693189","2604","a"
"301693585","111701","a"
"301706465","64586","a"
"301708049","137582","p"
"301708663","97522","a"
"301709081","51197","a"
"301709081","51238","a"
"301709081","83807","a"
"301709681","124546","p"
"301710260","59516","p"
"301710543","95354","p"
